id,pregunta,respuesta_correcta,opcion1,opcion2,opcion3,opcion4,categoria
1,¿Quién es el protagonista de “Piratas del Caribe”?,Jack Sparrow,Jack Sparrow,Will Turner,Barbossa,Davy Jones,Entretenimiento
2,¿Qué personaje vive en una piña bajo el mar?,Bob Esponja,Bob Esponja,Patricio,Calamardo,Arenita,Entretenimiento
3,¿Qué saga incluye varitas mágicas?,Harry Potter,Harry Potter,Star Wars,Narnia,Divergente,Entretenimiento
4,¿Quién canta “Shape of You”?,Ed Sheeran,Ed Sheeran,Shawn Mendes,Justin Bieber,The Weeknd,Entretenimiento
5,¿Qué superhéroe es de Marvel?,Iron Man,Iron Man,Batman,Flash,Superman,Entretenimiento
6,¿Cuál es el villano principal en Star Wars?,Darth Vader,Darth Vader,Kylo Ren,Palpatine,Maul,Entretenimiento
7,¿Qué serie tiene dragones?,Game of Thrones,Game of Thrones,The Office,Friends,Sherlock,Entretenimiento
8,¿Quién es el ratón más famoso del mundo?,Mickey Mouse,Mickey Mouse,Jerry,Speedy González,Fievel,Entretenimiento
9,¿Qué película tiene el personaje “Woody”?,Toy Story,Toy Story,Cars,Shrek,Frozen,Entretenimiento
10,¿Quién interpreta a Wolverine?,Hugh Jackman,Hugh Jackman,Chris Evans,Tom Holland,Ryan Reynolds,Entretenimiento
11,¿Cuál es la familia amarilla famosa?,Los Simpson,Los Simpson,Los Padrinos Mágicos,Los Rugrats,Bob's Burgers,Entretenimiento
12,¿Quién canta “Bad Guy”?,Billie Eilish,Billie Eilish,Ariana Grande,Dua Lipa,Rihanna,Entretenimiento
13,¿Qué película dice “Yo soy tu padre”?,Star Wars,Star Wars,Matrix,Avatar,Terminator,Entretenimiento
14,¿Qué princesa tiene un castillo de hielo?,Elsa,Elsa,Bella,Ariel,Rapunzel,Entretenimiento
15,¿Quién es el protagonista de Iron Man?,Tony Stark,Tony Stark,Peter Parker,Bruce Wayne,Steven Strange,Entretenimiento
16,¿Qué película tiene el personaje “Blue”?,Río,Río,Kung Fu Panda,Madagascar,Shrek,Entretenimiento
17,¿Quién es el villano de “Avengers: Endgame”?,Thanos,Thanos,Loki,Ultron,Kang,Entretenimiento
18,¿Qué artista cantó “Thriller”?,Michael Jackson,Michael Jackson,Bruno Mars,The Weeknd,Prince,Entretenimiento
19,¿Qué película popular tiene dinosaurios?,Jurassic Park,Jurassic Park,Tarzán,Mulan,Hércules,Entretenimiento
20,¿Qué serie tiene un laboratorio de niños genios?,Dexter’s Laboratory,Dexter’s Laboratory,Jimmy Neutron,Phineas and Ferb,Los Jóvenes Titanes,Entretenimiento
21,¿Quién es “El Caballero de la Noche”?,Batman,Batman,Superman,Iron Man,Daredevil,Entretenimiento
22,¿Qué banda cantó “Bohemian Rhapsody”?,Queen,Queen,The Beatles,AC/DC,Coldplay,Entretenimiento
23,¿Qué película tiene el personaje Stitch?,Lilo & Stitch,Lilo & Stitch,Moana,Up,Enredados,Entretenimiento
24,¿Quién es el mejor amigo de Harry Potter?,Ron Weasley,Ron Weasley,Draco Malfoy,Hagrid,Neville Longbottom,Entretenimiento
25,¿Qué videojuego tiene la frase “Victory Royale”?,Fortnite,Fortnite,Free Fire,Call of Duty,Minecraft,Entretenimiento
26,¿Qué significa CPU?,Unidad Central de Procesamiento,Unidad Central de Procesamiento,Unidad de Potencia Computacional,Centro Principal de Usuarios,Control de Procesos Universales,Tecnología
27,¿Qué empresa creó el sistema operativo Windows?,Microsoft,Microsoft,Apple,IBM,Google,Tecnología
28,¿Qué es un algoritmo?,Conjunto de pasos para resolver un problema,Conjunto de pasos para resolver un problema,Un tipo de virus,Un sistema operativo,Un lenguaje de programación,Tecnología
29,¿Qué significa HTML?,HyperText Markup Language,HyperText Markup Language,HyperTool Machine Logic,HighText Multi Language,Home Tool Modern Language,Tecnología
30,¿Qué tipo de dispositivo es un router?,Encaminador de redes,Encaminador de redes,Almacenamiento externo,Tarjeta de sonido,Monitor,Tecnología
31,¿Qué empresa creó Android?,Google,Google,Samsung,Microsoft,Huawei,Tecnología
32,¿Qué mide la RAM?,Memoria temporal del sistema,Memoria temporal del sistema,Velocidad del procesador,Capacidad gráfica,Espacio del disco,Tecnología
33,¿Qué significa URL?,Localizador Uniforme de Recursos,Localizador Uniforme de Recursos,Unidad de Recursos Listos,Universal Red Link,Usuario de Red Local,Tecnología
34,¿Cuál es el lenguaje más usado para inteligencia artificial?,Python,Python,Java,C,SQL,Tecnología
35,¿Qué es un firewall?,Sistema que filtra el tráfico de red,Sistema que filtra el tráfico de red,Un programa de diseño,Un tipo de robot,Un virus protector,Tecnología
36,¿Qué unidad mide la velocidad del procesador?,GHz,GHz,Mbps,kW,RPM,Tecnología
37,¿Qué inventó Tim Berners-Lee?,La World Wide Web,La World Wide Web,El correo electrónico,Google,Windows,Tecnología
38,¿Qué significa GPU?,Unidad de Procesamiento Gráfico,Unidad de Procesamiento Gráfico,Generador de Potencia Útil,Grupo de Procesos Universales,Gadget Profesional Único,Tecnología
39,¿Qué es la nube (cloud)?,Servicio de almacenamiento remoto,Servicio de almacenamiento remoto,Una memoria USB avanzada,Un tipo de firewall,Un antivirus,Tecnología
40,¿Qué tecnología permite pagos sin contacto?,NFC,NFC,HDMI,BIOS,VGA,Tecnología
41,¿Qué significa BIOS?,Sistema Básico de Entrada/Salida,Sistema Básico de Entrada/Salida,Base Interna de Software,Black Input Output System,Binary Search Office,Tecnología
42,¿Qué empresa creó el iPhone?,Apple,Apple,Nokia,Samsung,Sony,Tecnología
43,¿Qué es el phishing?,Robo de datos mediante engaño,Robo de datos mediante engaño,Navegación segura,Instalación de redes,Copia de archivos,Tecnología
44,¿Qué es un SSD?,Disco de estado sólido,Disco de estado sólido,Señal de datos serial,Sistema de sonido digital,Software de seguridad,Tecnología
45,¿Qué protocolo se usa para navegar en internet?,HTTP,HTTP,FTP,DNS,SMTP,Tecnología
46,¿Cuál es el navegador creado por Google?,Chrome,Chrome,Edge,Firefox,Safari,Tecnología
47,¿Qué es un QR?,Código de respuesta rápida,Código de respuesta rápida,Cuadro rígido,Query Realtime,Quick Radio,Tecnología
48,¿Qué es un malware?,Software malicioso,Software malicioso,Aplicación educativa,Herrera de diseño,Sistema operativo,Tecnología
49,¿Qué tipo de red es el Bluetooth?,Red personal inalámbrica,Red personal inalámbrica,Red local fija,Red satelital,Red de fibra óptica,Tecnología
50,¿Cuál es la empresa creadora de ChatGPT?,OpenAI,OpenAI,Meta,Amazon,Netflix,Tecnología
51,¿Cuál es el planeta más grande del sistema solar?,Júpiter,Júpiter,Saturno,Neptuno,Urano,Ciencia
52,¿Qué partícula tiene carga negativa?,Electrón,Electrón,Protón,Neutrón,Positrón,Ciencia
53,¿Cuál es la velocidad de la luz?,300,000 km/s,300,000 km/s,150,000 km/s,1,000 km/s,3,000 km/s,Ciencia
54,¿Qué gas abunda más en la atmósfera?,Nitrógeno,Nitrógeno,Oxígeno,Argón,CO₂,Ciencia
55,¿Qué científico propuso la teoría de la relatividad?,Albert Einstein,Albert Einstein,Isaac Newton,Galileo Galilei,Stephen Hawking,Ciencia
56,¿Cómo se llama la fuerza que nos mantiene en la Tierra?,Gravedad,Gravedad,Inercia,Magnetismo,Fricción,Ciencia
57,¿Qué órgano bombea la sangre?,Corazón,Corazón,Pulmón,Riñón,Hígado,Ciencia
58,¿Qué tipo de energía produce el Sol?,Nuclear,Nuclear,Eólica,Química,Geotérmica,Ciencia
59,¿Cuál es el hueso más largo del cuerpo humano?,Fémur,Fémur,Húmero,Radio,Tibia,Ciencia
60,¿Qué vitamina se obtiene con el Sol?,Vitamina D,Vitamina D,Vitamina A,Vitamina C,Vitamina E,Ciencia
61,¿Qué célula transporta oxígeno?,Glóbulo rojo,Glóbulo rojo,Glóbulo blanco,Plaqueta,Neurona,Ciencia
62,¿Cuál es el metal más liviano?,Litio,Litio,Aluminio,Plata,Sodio,Ciencia
63,¿Qué animal es el más grande del mundo?,Ballena azul,Ballena azul,Elefante africano,Cachalote,Tiburón blanco,Ciencia
64,¿Qué planeta es conocido como el “planeta rojo”?,Marte,Marte,Venus,Júpiter,Mercurio,Ciencia
65,¿Qué estudia la botánica?,Las plantas,Las plantas,Los animales,Las rocas,Los astros,Ciencia
66,¿Qué unidad mide la energía?,Joule,Joule,Pascal,Watt,Newton,Ciencia
67,¿Cómo se llama el proceso de las plantas para fabricar su alimento?,Fotosíntesis,Fotosíntesis,Germinación,Polinización,Oxidación,Ciencia
68,¿Qué gen determina ser hombre?,Y,Y,X,Z,W,Ciencia
69,¿Qué le da color a los ojos?,Melanina,Melanina,Colágeno,Hemoglobina,Queratina,Ciencia
70,¿Cómo se llama el cambio de sólido a gas?,Sublimación,Sublimación,Evaporación,Condensación,Fusión,Ciencia
